order_id,order_date,customer_id,segment,region,country,category,product,quantity,unit_price,discount,sales,profit,ship_mode
ORD-103011,2024-04-08 18:18:53,CUST-1218,Home Office,Asia,India,Office Supplies,Binder,8,8.98,0.2,57.47,11.49,Standard
ORD-109154,2022-05-12 02:48:58,CUST-1946,Consumer,Europe,Spain,Technology,Laptop,7,488.15,0.0,3417.05,971.9,Express
ORD-106675,2022-06-30 12:42:25,CUST-2560,Corporate,North America,Mexico,Office Supplies,Paper (Ream),5,16.69,0.0,83.45,31.57,Same Day
ORD-101037,2024-04-08 09:00:46,CUST-2093,Consumer,Europe,France,Technology,Smartphone,8,328.38,0.15,2232.98,404.84,Standard
ORD-108870,2022-12-06 11:32:47,CUST-1987,Consumer,Europe,Spain,Furniture,Desk,3,191.57,0.1,517.24,107.31,Standard
ORD-109675,2024-10-09 15:35:50,CUST-2301,Consumer,North America,United States,Technology,Headphones,9,529.65,0.0,4766.85,1255.04,Standard
ORD-102862,2024-04-29 20:28:16,CUST-1140,Home Office,North America,United States,Technology,Headphones,4,378.86,0.0,1515.44,432.39,Standard
ORD-103030,2024-07-01 21:00:36,CUST-2295,Corporate,Asia,Singapore,Technology,Headphones,2,436.31,0.15,741.73,163.6,Express
ORD-105473,2023-11-24 17:46:36,CUST-1249,Consumer,North America,United States,Office Supplies,Stapler,6,19.64,0.0,117.84,40.33,Standard
ORD-103473,2023-09-09 14:38:48,CUST-2422,Consumer,Europe,Spain,Furniture,Sofa,2,273.05,0.15,464.18,76.76,Standard
ORD-102295,2024-12-30 07:22:05,CUST-2696,Corporate,North America,United States,Office Supplies,Notebook,11,9.56,0.0,105.16,42.8,Economy
ORD-101778,2022-02-23 18:04:06,CUST-2111,HOME OFFICE, North America ,Mexico,Furniture,Office Chair,7,170.79,0.15,1016.2,217.95,Economy
ORD-102130,2022-02-14 15:19:51,CUST-2256,Corporate,North America,United States,Office Supplies,Pens (Pack),9,9.25,0.0,83.25,27.07,Same Day
ORD-102611,2024-10-12 22:08:53,CUST-2935,Home Office,Asia,Japan,Furniture,Bookcase,10,101.39,0.0,1013.9,326.2,Standard
ORD-107543,2024-05-02 05:03:01,CUST-1041,Corporate,Oceania,Australia,Technology,Keyboard,5,488.4,0.1,2197.8,562.23,Standard
ORD-106817,2023-08-01 22:52:47,CUST-2900,Consumer,North America,United States,Office Supplies,Binder,3,11.09,0.0,33.27,10.93,Same Day
ORD-109019,2022-10-02 20:50:46,CUST-2061,Home Office,Asia,Singapore,Technology,Smartphone,5,655.51,0.0,3277.55,1131.92,Standard
ORD-107923,2022-04-22 22:30:38,CUST-2082,Consumer,Europe,United Kingdom,Office Supplies,Stapler,6,7.93,0.0,47.58,16.95,Standard
ORD-109570,2024-09-07 05:26:07,CUST-1470,Home Office,North America,United States,Office Supplies,Pens (Pack),6,16.14,0.0,96.84,26.57,Express
ORD-100955,2023-11-03 03:13:06,CUST-2397,Corporate,Asia,Japan,Office Supplies,Notebook,10,20.05,0.1,180.45,52.65,Standard
ORD-108592,2022-10-25 08:36:30,CUST-2587,Consumer,Asia,Japan,Technology,Smartphone,11,613.41,0.3,4723.26,-47.31,Standard
